Ljava/lang/System;->out Ljava/io/PrintStream;
Ljava/io/PrintStream;->println
Ljava/text/DateFormat;->getDateInstance
Ljava/lang/Exception;->toString
Ljava/lang/Exception;->getStackTrace
Ljava/lang/StackTraceElement;->toString
Landroid/util/Log;->e
Landroid/util/Log;->w
Landroid/app/Activity;->unbindService
Landroid/app/Activity;->onActivityResult
Landroid/content/Intent;->getExtras
Landroid/os/Bundle;->getInt
Landroid/os/Bundle;->getString
Landroid/app/PendingIntent;->getIntentSender
Ljava/util/ArrayList;->add
Ljava/util/ArrayList;->size
Ljava/util/ArrayList;->get
Lorg/json/JSONArray;->put
Lorg/json/JSONArray;->toString
Landroid/app/Activity;->getPackageName
Landroid/content/Intent;->setPackage
Landroid/app/Activity;->bindService
Landroid/os/Bundle;->putStringArrayList
Landroid/os/Bundle;->getStringArrayList
Ljava/text/NumberFormat;->getInstance
Ljava/text/NumberFormat;->setMinimumFractionDigits
Lorg/json/JSONObject;->get
Lorg/json/JSONObject;->put
Ljava/text/NumberFormat;->parse
Ljava/util/ArrayList;->remove
Landroid/app/Activity;->finish
Lorg/json/JSONObject;->toString
Landroid/content/Intent;->getIntExtra
Landroid/content/Intent;->getStringExtra
Lorg/json/JSONObject;->getString
Lorg/json/JSONObject;->getInt
Landroid/os/Bundle;->getParcelable
Landroid/content/Intent;->putExtra
Landroid/app/Activity;->startActivity
Landroid/os/IBinder;->queryLocalInterface
Landroid/os/Binder;->onTransact
Landroid/os/Parcel;->writeString
Landroid/os/Parcel;->enforceInterface
Landroid/os/Parcel;->readInt
Landroid/os/Parcel;->readString
Landroid/os/Parcel;->writeNoException
Landroid/os/Parcel;->writeInt
Landroid/os/Bundle;->CREATOR Landroid/os/Parcelable$Creator;
Landroid/os/Parcelable$Creator;->createFromParcel
Landroid/os/Bundle;->writeToParcel
Landroid/os/Parcel;->obtain
Landroid/os/Parcel;->writeInterfaceToken
Landroid/os/IBinder;->transact
Landroid/os/Parcel;->readException
Landroid/os/Parcel;->recycle
Landroid/hardware/Camera;->getParameters
Landroid/hardware/Camera$Parameters;->getFocusMode
Landroid/hardware/Camera;->autoFocus
Landroid/hardware/Camera;->release
Ljava/lang/Class;->newInstance
Ljava/lang/reflect/Field;->getInt
Landroid/hardware/Camera$Parameters;->getPreviewFormat
Landroid/hardware/Camera$Parameters;->getPreviewSize
Landroid/hardware/Camera$Size;->height I
Landroid/hardware/Camera$Size;->width I
Landroid/hardware/Camera$Parameters;->getSupportedPreviewFormats
Landroid/hardware/Camera$Parameters;->getSupportedPreviewFrameRates
Landroid/hardware/Camera$Parameters;->getSupportedPreviewSizes
Landroid/view/SurfaceHolder;->getSurface
Landroid/hardware/Camera;->setPreviewDisplay
Landroid/view/SurfaceHolder;->addCallback
Landroid/hardware/Camera;->open
Landroid/hardware/Camera$Parameters;->getSupportedFocusModes
Ljava/util/List;->contains
Landroid/hardware/Camera$Parameters;->setFocusMode
Landroid/hardware/Camera;->setParameters
Landroid/hardware/Camera$Parameters;->setPreviewSize
Landroid/hardware/Camera$Parameters;->setPreviewFrameRate
Landroid/hardware/Camera$Parameters;->setPreviewFormat
Landroid/hardware/Camera;->setPreviewCallbackWithBuffer
Landroid/hardware/Camera;->startPreview
Landroid/graphics/ImageFormat;->getBitsPerPixel
Landroid/hardware/Camera;->addCallbackBuffer
Landroid/hardware/Camera;->setPreviewCallback
Landroid/hardware/Camera;->stopPreview
Ljava/net/URL;->openConnection
Ljava/net/HttpURLConnection;->setConnectTimeout
Ljava/net/HttpURLConnection;->setRequestMethod
Ljava/net/HttpURLConnection;->setFollowRedirects
Ljava/net/HttpURLConnection;->getResponseCode
Ljava/lang/System;->exit
Landroid/view/ViewConfiguration;->get
Landroid/view/ViewConfiguration;->getScaledTouchSlop
Landroid/view/KeyEvent;->getKeyCode
Landroid/view/KeyEvent;->isShiftPressed
Landroid/view/KeyEvent;->isAltPressed
Landroid/view/KeyEvent;->getRepeatCount
Landroid/view/inputmethod/InputMethodManager;->isFullscreenMode
Landroid/graphics/Rect;->left I
Landroid/graphics/Rect;->right I
Landroid/graphics/Rect;->top I
Landroid/graphics/Rect;->bottom I
Ljava/lang/Math;->sqrt
Landroid/view/Window;->getDecorView
Landroid/view/View;->getWindowVisibleDisplayFrame
Landroid/view/SurfaceHolder;->setFormat
Landroid/os/Build$VERSION;->SDK_INT I
Landroid/view/KeyEvent;->getUnicodeChar
Landroid/content/Context;->getContentResolver
Landroid/provider/Settings$System;->getInt
Landroid/view/inputmethod/InputMethodManager;->restartInput
Landroid/view/View;->setSystemUiVisibility
Landroid/app/Activity;->getWindow
Landroid/view/Window;->clearFlags
Landroid/graphics/Rect;->intersects
Landroid/graphics/Rect;->intersect
Landroid/graphics/Rect;->union
Landroid/view/SurfaceHolder;->lockCanvas
Landroid/graphics/Canvas;->clipRect
Landroid/graphics/Canvas;->drawColor
Landroid/graphics/PorterDuff$Mode;->CLEAR Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/Canvas;->drawBitmap
Landroid/view/SurfaceHolder;->unlockCanvasAndPost
Landroid/graphics/PorterDuff$Mode;->SRC Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/Paint;->setXfermode
Landroid/graphics/Paint;->setFilterBitmap
Landroid/graphics/Color;->red
Landroid/graphics/Color;->green
Landroid/graphics/Color;->blue
Landroid/graphics/Canvas;->drawRGB
Landroid/graphics/Region$Op;->REPLACE Landroid/graphics/Region$Op;
Landroid/graphics/Region;->op
Landroid/app/Activity;->getSystemService
Landroid/view/WindowManager;->getDefaultDisplay
Landroid/view/Display;->getPixelFormat
Landroid/graphics/PixelFormat;->getPixelFormatInfo
Landroid/graphics/PixelFormat;->bitsPerPixel I
Landroid/content/Context;->getSystemService
Landroid/view/SurfaceView;->onCreateContextMenu
Landroid/view/ContextMenu;->add
Landroid/view/MenuItem;->setOnMenuItemClickListener
Landroid/view/MenuItem;->setAlphabeticShortcut
Landroid/text/ClipboardManager;->hasText
Landroid/view/ContextMenu;->setHeaderTitle
Landroid/view/inputmethod/EditorInfo;->imeOptions I
Landroid/view/inputmethod/EditorInfo;->inputType I
Landroid/view/inputmethod/EditorInfo;->initialSelStart I
Landroid/view/inputmethod/EditorInfo;->initialSelEnd I
Landroid/view/inputmethod/EditorInfo;->initialCapsMode I
Landroid/view/SurfaceView;->onFocusChanged
Landroid/view/MotionEvent;->getAction
Landroid/view/KeyEvent;->getAction
Landroid/view/KeyEvent;->isSymPressed
Landroid/view/KeyEvent;->isTracking
Landroid/view/KeyEvent;->isCanceled
Landroid/app/Activity;->moveTaskToBack
Landroid/view/SurfaceView;->onSizeChanged
Landroid/text/ClipboardManager;->setText
Landroid/view/inputmethod/ExtractedText;->text Ljava/lang/CharSequence;
Landroid/text/ClipboardManager;->getText
Landroid/view/inputmethod/InputMethodManager;->showInputMethodPicker
Landroid/widget/RelativeLayout;->clearFocus
Landroid/widget/RelativeLayout;->getChildCount
Landroid/widget/RelativeLayout;->getChildAt
Landroid/view/View;->clearFocus
Landroid/view/MotionEvent;->getPointerCount
Landroid/view/MotionEvent;->getPointerId
Landroid/view/MotionEvent;->getX
Landroid/view/MotionEvent;->getY
Landroid/view/MotionEvent;->getMetaState
Landroid/view/MotionEvent;->getToolType
Landroid/view/MotionEvent;->getButtonState
Landroid/view/MotionEvent;->getSize
Landroid/view/MotionEvent;->getHistorySize
Landroid/view/MotionEvent;->getHistoricalX
Landroid/view/MotionEvent;->getHistoricalY
Landroid/view/MotionEvent;->getHistoricalPressure
Ljava/lang/System;->currentTimeMillis
Landroid/view/MotionEvent;->getPressure
Landroid/view/ScaleGestureDetector;->onTouchEvent
Landroid/view/GestureDetector;->onTouchEvent
Landroid/view/inputmethod/InputMethodManager;->hideSoftInputFromWindow
Landroid/view/SurfaceView;->performLongClick
Landroid/view/Window;->setFlags
Landroid/widget/TextView;->setText
Landroid/text/util/Linkify;->addLinks
Landroid/app/AlertDialog$Builder;->setView
Landroid/app/AlertDialog$Builder;->setNeutralButton
Landroid/view/inputmethod/InputMethodManager;->showSoftInput
Landroid/view/Display;->getHeight
Landroid/view/Display;->getWidth
Landroid/content/res/Resources;->getConfiguration
Landroid/content/res/Configuration;->orientation I
Landroid/os/Build;->MANUFACTURER Ljava/lang/String;
Ljava/lang/String;->equalsIgnoreCase
Landroid/os/Build;->MODEL Ljava/lang/String;
Landroid/app/Activity;->unregisterReceiver
Landroid/os/SystemClock;->uptimeMillis
Landroid/app/Activity;->registerReceiver
Ljava/lang/Thread;->sleep
Lcom/google/android/gms/gcm/GoogleCloudMessaging;->register
Ljava/lang/Class;->toString
Ljava/nio/charset/Charset;->forName
Ljava/nio/charset/Charset;->encode
Ljava/nio/ByteBuffer;->array
Ljava/nio/charset/Charset;->newEncoder
Ljava/nio/charset/CharsetEncoder;->encode
Ljava/nio/charset/CodingErrorAction;->REPLACE Ljava/nio/charset/CodingErrorAction;
Ljava/nio/charset/CharsetEncoder;->onUnmappableCharacter
Ljava/nio/charset/Charset;->newDecoder
Ljava/nio/charset/CharsetDecoder;->onUnmappableCharacter
Ljava/nio/ByteBuffer;->wrap
Ljava/nio/charset/CharsetDecoder;->decode
Ljava/nio/charset/Charset;->availableCharsets
Ljava/util/SortedMap;->keySet
Ljava/nio/CharBuffer;->array
Ljava/nio/CharBuffer;->wrap
Ljava/lang/ProcessBuilder;->start
Ljava/lang/Process;->getInputStream
Ljava/io/InputStream;->read
Ljava/lang/String;->indexOf
Ljava/lang/Integer;->toString
Ljava/io/InputStream;->close
Landroid/os/Environment;->getExternalStorageDirectory
Landroid/content/res/Resources;->getIdentifier
Landroid/view/LayoutInflater;->inflate
Landroid/content/Context;->getPackageManager
Ljava/lang/String;->startsWith
Landroid/content/Context;->getPackageName
Ljava/lang/String;->concat
Landroid/content/res/Resources;->getString
Landroid/os/Environment;->getDataDirectory
Landroid/content/Context;->getResources
Landroid/content/res/Resources;->getAssets
Landroid/content/res/AssetManager;->open
Ljava/io/ByteArrayOutputStream;->toString
Ljava/io/ByteArrayOutputStream;->close
Landroid/content/Context;->createPackageContext
Landroid/content/Context;->getSharedPreferences
Landroid/content/SharedPreferences;->getString
Landroid/view/View;->findViewById
Ljava/io/File;->isDirectory
Ljava/io/File;->mkdirs
Ljava/io/File;->listFiles
Ljava/io/File;->getName
Ljava/io/OutputStream;->close
Ljava/io/OutputStream;->write
Landroid/net/ConnectivityManager;->getActiveNetworkInfo
Landroid/net/NetworkInfo;->isConnected
Ljava/util/Scanner;->hasNextLine
Ljava/util/Scanner;->nextLine
Ljava/util/Scanner;->useDelimiter
Ljava/util/Scanner;->hasNext
Ljava/util/Scanner;->next
Ljava/util/HashMap;->put
Ljava/util/Scanner;->close
Ljava/io/FileWriter;->write
Ljava/io/FileWriter;->close
Ljava/io/File;->exists
Ljava/io/File;->createNewFile
Ljava/lang/String;->getBytes
Ljava/io/OutputStream;->flush
Landroid/util/Log;->v
Landroid/util/Log;->d
Landroid/util/Log;->isLoggable
Landroid/util/Log;->println
Ljava/util/Locale;->getDefault
Ljava/util/Locale;->getLanguage
Landroid/os/Build$VERSION;->RELEASE Ljava/lang/String;
Ljava/lang/System;->getProperty
Ljava/net/URLEncoder;->encode
Landroid/os/AsyncTask;->execute
Landroid/app/UiModeManager;->getCurrentModeType
Landroid/content/Intent;->setComponent
Landroid/graphics/Rect;->width
Landroid/graphics/Rect;->height
Landroid/widget/RelativeLayout$LayoutParams;->leftMargin I
Landroid/widget/RelativeLayout$LayoutParams;->topMargin I
Landroid/content/Intent;->getAction
Landroid/os/Bundle;->getLong
Ljava/net/InetAddress;->getLocalHost
Ljava/net/Socket;->close
Landroid/hardware/SensorEvent;->values [F
Landroid/hardware/SensorManager;->unregisterListener
Landroid/hardware/SensorManager;->getDefaultSensor
Landroid/hardware/SensorManager;->registerListener
Landroid/util/SparseArray;->size
Landroid/hardware/input/InputManager;->getInputDeviceIds
Landroid/util/SparseArray;->keyAt
Landroid/util/SparseArray;->valueAt
Landroid/util/SparseArray;->delete
Landroid/util/SparseArray;->get
Landroid/hardware/input/InputManager;->registerInputDeviceListener
Landroid/hardware/input/InputManager;->unregisterInputDeviceListener
Landroid/view/MotionEvent;->getSource
Landroid/view/MotionEvent;->getDeviceId
Landroid/hardware/input/InputManager;->getInputDevice
Landroid/view/InputDevice;->isVirtual
Landroid/view/InputDevice;->getSources
Landroid/util/SparseArray;->put
Landroid/view/KeyEvent;->getDeviceId
Ljava/net/HttpURLConnection;->setDoInput
Ljava/net/HttpURLConnection;->connect
Ljava/net/HttpURLConnection;->getInputStream
Landroid/graphics/BitmapFactory;->decodeStream
Landroid/preference/PreferenceManager;->getDefaultSharedPreferences
Landroid/content/SharedPreferences;->getLong
Landroid/content/SharedPreferences;->edit
Landroid/content/SharedPreferences$Editor;->putLong
Landroid/content/SharedPreferences$Editor;->commit
Landroid/content/Intent;->setFlags
Landroid/app/PendingIntent;->getActivity
Landroid/support/v4/app/NotificationCompat$Builder;->setSmallIcon
Landroid/support/v4/app/NotificationCompat$Builder;->setContentTitle
Landroid/support/v4/app/NotificationCompat$Builder;->setContentText
Landroid/support/v4/app/NotificationCompat$Builder;->setContentIntent
Landroid/support/v4/app/NotificationCompat$Builder;->setAutoCancel
Landroid/support/v4/app/NotificationCompat$Builder;->setLargeIcon
Landroid/support/v4/app/NotificationCompat$Builder;->build
Landroid/app/NotificationManager;->notify
Landroid/os/Bundle;->containsKey
Ljava/lang/String;->isEmpty
Lcom/google/android/gms/gcm/GoogleCloudMessaging;->getInstance
Lcom/google/android/gms/gcm/GoogleCloudMessaging;->getMessageType
Ljava/util/concurrent/locks/Lock;->newCondition
Ljava/util/concurrent/locks/Lock;->lock
Ljava/util/concurrent/locks/Condition;->signal
Ljava/util/concurrent/locks/Lock;->unlock
Landroid/app/Activity;->runOnUiThread
Ljava/util/concurrent/locks/Condition;->await
Ljava/util/ArrayList;->clear
Landroid/util/SparseBooleanArray;->get
Landroid/widget/ExpandableListAdapter;->getChild
Ljava/security/KeyStore;->getDefaultType
Ljava/security/KeyStore;->getInstance
Ljava/security/KeyStore;->load
Ljava/io/File;->lastModified
Landroid/webkit/WebSettings;->setJavaScriptEnabled
Landroid/webkit/WebSettings;->setBuiltInZoomControls
Landroid/webkit/WebSettings;->setNeedInitialFocus
Landroid/webkit/WebSettings$PluginState;->ON Landroid/webkit/WebSettings$PluginState;
Landroid/webkit/WebSettings;->setPluginState
Landroid/webkit/WebSettings;->setAllowUniversalAccessFromFileURLs
Landroid/webkit/URLUtil;->decode
Landroid/widget/RelativeLayout;->addView
Landroid/graphics/Bitmap$Config;->ARGB_8888 Landroid/graphics/Bitmap$Config;
Landroid/graphics/Bitmap;->createBitmap
Landroid/graphics/Canvas;->translate
Landroid/graphics/Canvas;->scale
Landroid/graphics/Picture;->draw
Landroid/webkit/WebSettings;->getMediaPlaybackRequiresUserGesture
Landroid/util/Base64;->encodeToString
Landroid/widget/RelativeLayout;->removeView
Landroid/webkit/WebSettings;->setMediaPlaybackRequiresUserGesture
Landroid/graphics/Rect;->contains
Ljava/lang/Math;->min
Landroid/content/SharedPreferences;->getBoolean
Landroid/content/SharedPreferences$Editor;->putBoolean
Landroid/webkit/WebBackForwardList;->getCurrentIndex
Landroid/webkit/WebBackForwardList;->getItemAtIndex
Landroid/webkit/WebHistoryItem;->getUrl
Landroid/graphics/Paint$Style;->FILL Landroid/graphics/Paint$Style;
Landroid/graphics/Paint;->setStyle
Landroid/graphics/Paint;->setColor
Landroid/graphics/Paint$Style;->STROKE Landroid/graphics/Paint$Style;
Landroid/graphics/Paint;->setStrokeWidth
Landroid/graphics/Canvas;->drawRect
Landroid/graphics/drawable/ShapeDrawable;->onDraw
Landroid/view/MotionEvent;->obtain
Landroid/view/View;->getResources
Landroid/widget/CompoundButton;->setOnCheckedChangeListener
Landroid/widget/CompoundButton;->setChecked
Landroid/widget/CompoundButton;->isChecked
Landroid/widget/CompoundButton$OnCheckedChangeListener;->onCheckedChanged
Landroid/media/AudioRecord;->getMinBufferSize
Landroid/media/AudioRecord;->getState
Ljava/lang/IllegalArgumentException;->printStackTrace
Landroid/media/AudioRecord;->read
Ljava/lang/Object;->wait
Landroid/os/Process;->setThreadPriority
Landroid/media/AudioRecord;->startRecording
Ljava/lang/Object;->notify
Landroid/media/AudioRecord;->stop
Landroid/media/AudioRecord;->release
Ljava/lang/Thread;->start
Landroid/view/ViewTreeObserver;->isAlive
Landroid/view/ViewTreeObserver;->addOnGlobalLayoutListener
Landroid/view/ViewTreeObserver;->removeGlobalOnLayoutListener
Ljava/util/concurrent/Semaphore;->acquire
Landroid/widget/RelativeLayout;->setPadding
Landroid/widget/RelativeLayout;->requestLayout
Landroid/webkit/WebView;->canGoBack
Landroid/webkit/WebView;->copyBackForwardList
Landroid/webkit/WebView;->setScrollBarStyle
Landroid/webkit/WebView;->setWebViewClient
Landroid/webkit/WebView;->getSettings
Landroid/webkit/WebSettings;->setDomStorageEnabled
Landroid/webkit/WebSettings;->setDatabaseEnabled
Landroid/content/Context;->getApplicationContext
Landroid/content/Context;->getFilesDir
Ljava/io/File;->getPath
Landroid/webkit/WebSettings;->setDatabasePath
Landroid/webkit/WebView;->getUrl
Landroid/webkit/WebView;->goBack
Landroid/webkit/WebView;->loadUrl
Ljava/util/Arrays;->sort
Ljava/util/Arrays;->binarySearch
Landroid/view/Display;->getMetrics
Landroid/util/DisplayMetrics;->densityDpi I
Landroid/util/DisplayMetrics;->widthPixels I
