Ljava/lang/Throwable;->getMessage
Landroid/graphics/Matrix;->preConcat
Landroid/graphics/Path;->addPath
Landroid/graphics/Region$Op;->REPLACE Landroid/graphics/Region$Op;
Landroid/graphics/Canvas;->clipPath
Landroid/graphics/PathMeasure;->setPath
Landroid/graphics/PathMeasure;->getLength
Landroid/graphics/PathMeasure;->getSegment
Landroid/graphics/Paint$Style;->FILL Landroid/graphics/Paint$Style;
Landroid/graphics/Paint;->setStyle
Landroid/graphics/Paint;->setAntiAlias
Landroid/graphics/Paint;->setColor
Landroid/graphics/Paint;->setColorFilter
Landroid/graphics/Canvas;->drawPath
Landroid/graphics/Paint$Style;->STROKE Landroid/graphics/Paint$Style;
Landroid/graphics/Paint;->setStrokeJoin
Landroid/graphics/Paint;->setStrokeCap
Landroid/graphics/Paint;->setStrokeMiter
Landroid/graphics/Paint;->setStrokeWidth
Landroid/graphics/Paint;->setFilterBitmap
Landroid/graphics/Paint;->setAlpha
Landroid/graphics/Bitmap;->eraseColor
Landroid/graphics/Canvas;->drawBitmap
Landroid/graphics/Bitmap$Config;->ARGB_8888 Landroid/graphics/Bitmap$Config;
Landroid/graphics/Bitmap;->createBitmap
Landroid/graphics/Bitmap;->getWidth
Landroid/graphics/Bitmap;->getHeight
Landroid/graphics/PorterDuff$Mode;->SRC_IN Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/PorterDuff$Mode;->SRC_OVER Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/PorterDuff$Mode;->SRC_ATOP Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/PorterDuff$Mode;->MULTIPLY Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/PorterDuff$Mode;->SCREEN Landroid/graphics/PorterDuff$Mode;
Landroid/graphics/PorterDuff$Mode;->ADD Landroid/graphics/PorterDuff$Mode;
Landroid/content/res/Resources;->getXml
Landroid/util/Xml;->asAttributeSet
Landroid/util/Log;->e
Landroid/content/res/TypedArray;->getColorStateList
Landroid/content/res/TypedArray;->getPositionDescription
Landroid/content/res/TypedArray;->getDimension
Landroid/graphics/Color;->alpha
Ljava/util/Stack;->push
Ljava/util/Stack;->peek
Ljava/util/Stack;->pop
Landroid/content/res/ColorStateList;->getColorForState
Landroid/graphics/Rect;->width
Landroid/graphics/Rect;->height
Landroid/graphics/Canvas;->getMatrix
Landroid/graphics/Matrix;->getValues
Landroid/graphics/Canvas;->save
Landroid/graphics/Rect;->left I
Landroid/graphics/Rect;->top I
Landroid/graphics/Canvas;->translate
Landroid/graphics/Canvas;->scale
Landroid/graphics/Rect;->offsetTo
Landroid/graphics/Canvas;->restoreToCount
Landroid/graphics/drawable/Drawable;->inflate
Landroid/graphics/drawable/Drawable;->invalidateSelf
Landroid/content/res/ColorStateList;->isStateful
Landroid/graphics/drawable/Drawable;->scheduleSelf
Landroid/content/res/ColorStateList;->valueOf
Landroid/graphics/drawable/Drawable;->unscheduleSelf
Landroid/view/View$MeasureSpec;->makeMeasureSpec
Landroid/view/View;->getVisibility
Landroid/view/View;->getLayoutParams
Landroid/view/View;->getMeasuredWidth
Landroid/view/View;->getMeasuredHeight
Landroid/view/View;->layout
Landroid/view/View;->getRight
Landroid/view/View;->getLeft
Landroid/view/View;->getTop
Landroid/view/View;->getBottom
Landroid/view/ViewGroup;->getBaseline
Landroid/view/View;->getBaseline
Landroid/view/View$MeasureSpec;->getMode
Landroid/view/View;->measure
Landroid/view/ViewGroup;->onInitializeAccessibilityEvent
Ljava/lang/Class;->getName
Landroid/view/accessibility/AccessibilityEvent;->setClassName
Landroid/view/ViewGroup;->onInitializeAccessibilityNodeInfo
Landroid/view/accessibility/AccessibilityNodeInfo;->setClassName
Landroid/content/Context;->obtainStyledAttributes
Landroid/content/res/TypedArray;->getDrawable
Landroid/graphics/Rect;->set
Landroid/view/Gravity;->apply
Landroid/graphics/drawable/Drawable;->setHotspot
Landroid/graphics/drawable/Drawable;->jumpToCurrentState
Landroid/view/LayoutInflater;->from
Landroid/view/LayoutInflater;->inflate
Landroid/content/Context;->getResources
Landroid/content/res/Resources;->getDimensionPixelSize
Landroid/widget/CheckedTextView;->setDuplicateParentStateEnabled
Landroid/content/Context;->getTheme
Landroid/content/res/Resources$Theme;->resolveAttribute
Landroid/util/TypedValue;->data I
Landroid/graphics/drawable/StateListDrawable;->addState
Landroid/view/ViewStub;->inflate
Landroid/widget/FrameLayout;->removeAllViews
Landroid/widget/FrameLayout;->addView
Landroid/widget/CheckedTextView;->setCompoundDrawables
Landroid/widget/CheckedTextView;->setTextAppearance
Landroid/widget/CheckedTextView;->setChecked
Landroid/widget/CheckedTextView;->setTextColor
Landroid/widget/CheckedTextView;->setText
Ljava/lang/Integer;->TYPE Ljava/lang/Class;
Landroid/view/ViewConfiguration;->get
Landroid/view/ViewConfiguration;->getScaledTouchSlop
Landroid/view/ViewConfiguration;->getScaledMinimumFlingVelocity
Landroid/view/ViewConfiguration;->getScaledMaximumFlingVelocity
Landroid/content/Context;->getSystemService
Landroid/view/View;->getParent
Ljava/lang/Class;->getClassLoader
Ljava/lang/ClassLoader;->loadClass
Ljava/lang/Class;->asSubclass
Ljava/lang/Class;->getConstructor
Ljava/lang/Integer;->valueOf
Ljava/lang/reflect/Constructor;->setAccessible
Ljava/lang/reflect/Constructor;->newInstance
Landroid/content/Context;->getClassLoader
Ljava/lang/NoSuchMethodException;->initCause
Landroid/util/AttributeSet;->getPositionDescription
Landroid/view/accessibility/AccessibilityEvent;->obtain
Landroid/view/accessibility/AccessibilityEvent;->setEventType
Ljava/util/ArrayList;->clear
Landroid/view/MotionEvent;->getAction
Landroid/content/Context;->getPackageName
Ljava/lang/String;->contains
Ljava/lang/Class;->getPackage
Ljava/lang/Package;->getName
Landroid/content/res/Resources;->getDisplayMetrics
Landroid/util/TypedValue;->getDimension
Landroid/view/View;->getWidth
Landroid/view/View;->getHeight
Landroid/view/VelocityTracker;->clear
Landroid/view/ViewGroup;->addFocusables
Ljava/util/ArrayList;->isEmpty
Ljava/util/List;->add
Ljava/util/List;->clear
Landroid/view/ViewGroup;->draw
Landroid/graphics/Canvas;->rotate
Landroid/view/ViewGroup;->drawChild
Landroid/view/FocusFinder;->getInstance
Landroid/view/FocusFinder;->findNextFocus
Landroid/view/ViewGroup;->focusSearch
Landroid/view/ViewGroup;->getChildDrawingOrder
Landroid/graphics/Rect;->right I
Landroid/graphics/Rect;->bottom I
Landroid/view/accessibility/AccessibilityManager;->isEnabled
Landroid/view/View;->offsetLeftAndRight
Landroid/view/View;->offsetTopAndBottom
Landroid/view/ViewGroup;->onAttachedToWindow
Landroid/view/ViewGroup;->onDetachedFromWindow
Landroid/view/ViewGroup;->onDraw
Landroid/view/VelocityTracker;->obtain
Landroid/view/VelocityTracker;->addMovement
Landroid/view/MotionEvent;->getX
Landroid/view/MotionEvent;->getY
Landroid/view/ViewParent;->requestDisallowInterceptTouchEvent
Landroid/view/ViewGroup;->onRestoreInstanceState
Landroid/view/ViewGroup;->onSaveInstanceState
Landroid/view/ViewGroup;->onSizeChanged
Landroid/view/MotionEvent;->obtain
Landroid/view/MotionEvent;->offsetLocation
Landroid/view/MotionEvent;->recycle
Landroid/view/VelocityTracker;->computeCurrentVelocity
Landroid/view/ViewGroup;->removeDetachedView
Ljava/util/ArrayList;->remove
Ljava/util/List;->remove
Landroid/view/ViewGroup;->requestChildFocus
Landroid/view/ViewGroup;->requestDisallowInterceptTouchEvent
Landroid/view/ViewGroup;->requestLayout
Landroid/view/ViewGroup;->sendAccessibilityEventUnchecked
Landroid/view/ViewGroup;->setClipToPadding
Landroid/os/SystemClock;->uptimeMillis
Landroid/os/Parcel;->readInt
Landroid/os/Parcel;->readIntArray
Landroid/os/Parcel;->readParcelableArray
Landroid/os/Parcel;->writeInt
Landroid/os/Parcel;->writeIntArray
Landroid/os/Parcel;->writeParcelableArray
Landroid/graphics/Rect;->isEmpty
Landroid/widget/FrameLayout;->draw
Landroid/widget/FrameLayout;->onAttachedToWindow
Landroid/widget/FrameLayout;->onDetachedFromWindow
Landroid/content/res/Resources;->getText
Ljava/util/concurrent/CopyOnWriteArrayList;->isEmpty
Ljava/util/concurrent/CopyOnWriteArrayList;->iterator
Ljava/lang/ref/WeakReference;->get
Ljava/util/concurrent/CopyOnWriteArrayList;->remove
Landroid/util/SparseArray;->put
Landroid/os/Bundle;->putSparseParcelableArray
Landroid/content/res/Resources;->getConfiguration
Landroid/content/res/Configuration;->keyboard I
Landroid/content/res/Resources;->getBoolean
Landroid/os/Bundle;->getSparseParcelableArray
Landroid/util/SparseArray;->get
Landroid/view/KeyEvent;->getMetaState
Landroid/view/KeyEvent;->getKeyData
Landroid/view/KeyCharacterMap$KeyData;->meta [C
Ljava/util/concurrent/CopyOnWriteArrayList;->add
Landroid/view/MenuItem;->getGroupId
Landroid/content/res/Resources;->getString
Landroid/content/Context;->getPackageManager
Landroid/content/pm/PackageManager;->queryIntentActivityOptions
Landroid/content/pm/ResolveInfo;->specificIndex I
Landroid/content/pm/ResolveInfo;->activityInfo Landroid/content/pm/ActivityInfo;
Landroid/content/pm/ActivityInfo;->applicationInfo Landroid/content/pm/ApplicationInfo;
Landroid/content/pm/ApplicationInfo;->packageName Ljava/lang/String;
Landroid/content/pm/ActivityInfo;->name Ljava/lang/String;
Landroid/content/Intent;->setComponent
Landroid/content/pm/ResolveInfo;->loadLabel
Landroid/content/pm/ResolveInfo;->loadIcon
Landroid/view/MenuItem;->setIcon
Landroid/view/MenuItem;->setIntent
Landroid/view/View;->getId
Landroid/view/View;->saveHierarchyState
Landroid/view/MenuItem;->getItemId
Landroid/os/Bundle;->putInt
Landroid/view/MenuItem;->hasSubMenu
Landroid/view/MenuItem;->getSubMenu
Landroid/view/View;->restoreHierarchyState
Landroid/os/Bundle;->getInt
Landroid/view/SubMenu;->findItem
Ljava/util/ArrayList;->addAll
Ljava/util/Collections;->EMPTY_LIST Ljava/util/List;
Ljava/util/Collections;->unmodifiableList
Ljava/lang/Object;->hashCode
Landroid/view/MenuItem;->getIcon
Landroid/view/SubMenu;->hasVisibleItems
Landroid/view/SubMenu;->size
Landroid/view/SubMenu;->getItem
Ljava/util/ArrayList;->iterator
Landroid/widget/TextView;->setText
Landroid/view/View;->setPadding
Landroid/view/View;->setOnClickListener
Landroid/widget/LinearLayout;->getChildCount
Landroid/widget/LinearLayout;->addView
Landroid/content/res/Resources;->getDimensionPixelOffset
Landroid/os/Bundle;->getBundle
Landroid/os/Bundle;->putBundle
Landroid/os/Parcel;->readFloat
Landroid/os/Parcel;->readByte
Landroid/view/View$BaseSavedState;->writeToParcel
Landroid/os/Parcel;->writeFloat
Landroid/os/Parcel;->writeByte
Landroid/view/View$BaseSavedState;->EMPTY_STATE Landroid/view/AbsSavedState;
Landroid/view/View;->removeCallbacks
Landroid/view/View;->getContext
Ljava/lang/Math;->round
Landroid/view/VelocityTracker;->recycle
Landroid/view/animation/Interpolator;->getInterpolation
Ljava/lang/Integer;->signum
Landroid/util/DisplayMetrics;->density F
Landroid/view/View;->isShown
Landroid/content/res/TypedArray;->hasValue
Landroid/view/animation/AnimationUtils;->loadInterpolator
Landroid/view/ViewGroup$LayoutParams;->height I
Landroid/view/View;->requestLayout
Landroid/view/View$MeasureSpec;->getSize
Landroid/content/res/TypedArray;->getDimensionPixelSize
Ljava/util/List;->contains
Landroid/widget/LinearLayout;->onLayout
Landroid/widget/LinearLayout;->onMeasure
Landroid/widget/LinearLayout;->setOrientation
Landroid/view/ViewGroup;->getChildCount
Landroid/view/ViewGroup;->getChildAt
Landroid/view/MotionEvent;->getActionIndex
Landroid/view/MotionEvent;->getPointerId
Landroid/content/res/TypedArray;->getText
Landroid/view/ViewParent;->getParent
Landroid/view/ViewGroup$MarginLayoutParams;->topMargin I
Landroid/view/ViewGroup$MarginLayoutParams;->bottomMargin I
Landroid/view/ViewGroup;->removeView
Landroid/view/View;->getTag
Landroid/view/View;->setTag
Landroid/widget/FrameLayout;->generateDefaultLayoutParams
Landroid/widget/FrameLayout;->drawChild
Landroid/widget/FrameLayout;->drawableStateChanged
Landroid/widget/FrameLayout;->onLayout
Landroid/text/TextUtils;->isEmpty
Landroid/widget/FrameLayout;->onMeasure
Landroid/widget/FrameLayout;->onSizeChanged
Landroid/widget/FrameLayout;->setVisibility
Landroid/graphics/drawable/Drawable;->isVisible
Landroid/widget/FrameLayout;->verifyDrawable
Landroid/util/SparseArray;->append
Landroid/util/SparseArray;->size
Landroid/util/SparseArray;->keyAt
Landroid/util/SparseArray;->valueAt
Landroid/view/ViewGroup$OnHierarchyChangeListener;->onChildViewAdded
Landroid/view/ViewGroup$OnHierarchyChangeListener;->onChildViewRemoved
Landroid/content/res/TypedArray;->getInteger
Landroid/content/res/Resources;->getResourceName
Landroid/content/res/Resources;->getIntArray
Landroid/view/ViewGroup;->setOnHierarchyChangeListener
Ljava/lang/String;->startsWith
Ljava/lang/ThreadLocal;->get
Ljava/lang/ThreadLocal;->set
Ljava/lang/Class;->forName
Ljava/util/Collections;->sort
Ljava/util/List;->toArray
Ljava/util/Comparator;->compare
Ljava/lang/Class;->getAnnotation
Ljava/lang/Class;->getSuperclass
Ljava/lang/Class;->newInstance
Landroid/view/View;->isLayoutRequested
Landroid/graphics/Rect;->equals
Landroid/graphics/Rect;->contains
Landroid/view/ViewTreeObserver;->addOnPreDrawListener
Landroid/view/ViewTreeObserver;->removeOnPreDrawListener
Landroid/view/ViewGroup;->checkLayoutParams
Landroid/graphics/Canvas;->drawRect
Landroid/view/ViewGroup;->drawableStateChanged
Landroid/view/ViewGroup;->getSuggestedMinimumHeight
Landroid/view/ViewGroup;->getSuggestedMinimumWidth
Landroid/view/ViewGroup;->onTouchEvent
Landroid/view/ViewGroup;->setVisibility
Landroid/view/ViewGroup;->verifyDrawable
Landroid/graphics/Rect;->centerX
Landroid/graphics/Rect;->centerY
Landroid/widget/ImageButton;->setVisibility
Landroid/content/res/Resources;->getDimension
Landroid/view/View;->setBackgroundDrawable
Landroid/util/Log;->i
Landroid/os/Parcel;->readBundle
Landroid/os/Parcel;->writeBundle
Landroid/util/TypedValue;->resourceId I
Landroid/content/res/Resources;->getColorStateList
Landroid/content/res/ColorStateList;->getDefaultColor
Landroid/view/MenuInflater;->inflate
Landroid/os/Message;->what I
Landroid/os/Message;->obj Ljava/lang/Object;
Landroid/os/Message;->arg1 I
Landroid/view/View$OnClickListener;->onClick
Landroid/os/Handler;->obtainMessage
Landroid/os/Handler;->sendMessage
Landroid/view/View;->setVisibility
Landroid/os/Handler;->post
Landroid/view/View;->getPaddingLeft
Landroid/view/View;->getPaddingRight
Landroid/widget/TextView;->getPaddingTop
Landroid/widget/TextView;->getPaddingBottom
Landroid/widget/Button;->getVisibility
Landroid/widget/LinearLayout;->onAttachedToWindow
Landroid/widget/LinearLayout;->onDetachedFromWindow
Landroid/widget/LinearLayout;->onFinishInflate
Landroid/widget/TextView;->getLayout
Landroid/text/Layout;->getLineCount
Landroid/widget/Button;->getMeasuredWidth
Landroid/view/MotionEvent;->getActionMasked
Landroid/os/Looper;->getMainLooper
Landroid/view/ViewGroup;->getContext
Landroid/view/View;->getResources
Landroid/view/animation/AnimationUtils;->loadAnimation
Landroid/view/animation/Animation;->setInterpolator
Landroid/view/animation/Animation;->setDuration
Landroid/view/animation/Animation;->setAnimationListener
Landroid/content/Context;->getText
Landroid/widget/TextView;->setVisibility
Landroid/widget/TextView;->setOnClickListener
Landroid/view/ViewGroup;->addView
Landroid/graphics/Paint;->getColor
Landroid/widget/LinearLayout;->draw
Landroid/widget/LinearLayout$LayoutParams;->width I
Landroid/widget/LinearLayout$LayoutParams;->weight F
Landroid/text/Layout;->getLineWidth
Landroid/text/Layout;->getPaint
Landroid/text/TextPaint;->getTextSize
Landroid/widget/ImageView;->setImageDrawable
Landroid/widget/ImageView;->setVisibility
Landroid/widget/ImageView;->setContentDescription
Landroid/widget/TextView;->setContentDescription
Landroid/widget/ImageView;->getLayoutParams
Landroid/widget/ImageView;->getVisibility
Landroid/widget/ImageView;->requestLayout
Landroid/view/View;->findViewById
Landroid/widget/TextView;->setTextAppearance
Landroid/widget/TextView;->setTextColor
Landroid/widget/LinearLayout;->onInitializeAccessibilityEvent
Landroid/widget/LinearLayout;->onInitializeAccessibilityNodeInfo
Landroid/util/DisplayMetrics;->widthPixels I
Landroid/widget/Toast;->makeText
Landroid/widget/Toast;->setGravity
Landroid/widget/Toast;->show
Landroid/widget/TextView;->getTextSize
Landroid/widget/TextView;->getLineCount
Landroid/text/Layout;->getWidth
Landroid/widget/TextView;->setTextSize
Landroid/widget/TextView;->setMaxLines
Landroid/widget/LinearLayout;->performClick
Landroid/widget/LinearLayout;->setSelected
Landroid/widget/TextView;->setSelected
Landroid/widget/ImageView;->setSelected
Landroid/widget/HorizontalScrollView;->addView
Landroid/view/View;->setMinimumWidth
Landroid/view/View;->isSelected
Landroid/view/View;->setSelected
Ljava/util/Iterator;->remove
Landroid/widget/HorizontalScrollView;->onMeasure
Landroid/widget/EditText;->drawableStateChanged
Landroid/widget/EditText;->setBackgroundDrawable
Landroid/widget/EditText;->setBackgroundResource
Landroid/widget/EditText;->setTextAppearance
Landroid/view/inputmethod/EditorInfo;->hintText Ljava/lang/CharSequence;
Landroid/text/Editable;->length
Landroid/text/TextUtils;->CHAR_SEQUENCE_CREATOR Landroid/os/Parcelable$Creator;
Landroid/os/Parcelable$Creator;->createFromParcel
Ljava/lang/System;->identityHashCode
Landroid/text/TextUtils;->writeToParcel
Ljava/lang/Class;->getSimpleName
Landroid/widget/TextView;->getText
Landroid/view/accessibility/AccessibilityEvent;->getText
Landroid/graphics/Paint;->setTypeface
Landroid/graphics/Paint;->setTextSize
Landroid/graphics/Paint;->ascent
Landroid/widget/LinearLayout$LayoutParams;->topMargin I
Landroid/widget/EditText;->getPaddingBottom
Ljava/lang/String;->valueOf
Landroid/content/Context;->getString
Landroid/graphics/drawable/InsetDrawable;->getDrawable
Landroid/graphics/drawable/DrawableContainer;->getConstantState
Landroid/graphics/drawable/DrawableContainer$DrawableContainerState;->getChildCount
Landroid/graphics/drawable/DrawableContainer$DrawableContainerState;->getChild
Landroid/widget/LinearLayout;->removeView
Landroid/widget/LinearLayout;->setVisibility
Landroid/widget/EditText;->getText
Landroid/widget/TextView;->getCurrentTextColor
Landroid/widget/EditText;->getBackground
Landroid/widget/EditText;->refreshDrawableState
Landroid/widget/EditText;->getTypeface
Landroid/widget/EditText;->getTextSize
Landroid/widget/EditText;->getGravity
Landroid/widget/EditText;->addTextChangedListener
Landroid/widget/EditText;->getHintTextColors
Landroid/widget/EditText;->getHint
Landroid/widget/EditText;->setHint
Landroid/widget/EditText;->getLeft
Landroid/widget/EditText;->getCompoundPaddingLeft
Landroid/widget/EditText;->getRight
Landroid/widget/EditText;->getCompoundPaddingRight
Landroid/widget/EditText;->getTop
Landroid/widget/EditText;->getCompoundPaddingTop
Landroid/widget/EditText;->getBottom
Landroid/widget/EditText;->getCompoundPaddingBottom
Landroid/widget/LinearLayout;->onRestoreInstanceState
Landroid/widget/LinearLayout;->onSaveInstanceState
Landroid/widget/LinearLayout;->refreshDrawableState
Landroid/text/TextUtils;->equals
Landroid/widget/TextView;->getVisibility
Landroid/widget/EditText;->getLayoutParams
Landroid/widget/EditText;->setLayoutParams
Landroid/widget/EditText;->requestLayout
Landroid/view/ViewOutlineProvider;->BOUNDS Landroid/view/ViewOutlineProvider;
Landroid/view/View;->setOutlineProvider
Landroid/graphics/Shader$TileMode;->CLAMP Landroid/graphics/Shader$TileMode;
Landroid/graphics/Paint;->setShader
Landroid/graphics/Paint;->getStrokeWidth
Landroid/graphics/RectF;->set
Landroid/graphics/RectF;->left F
Landroid/graphics/RectF;->top F
Landroid/graphics/RectF;->right F
Landroid/graphics/RectF;->bottom F
Landroid/graphics/RectF;->centerX
Landroid/graphics/RectF;->centerY
Landroid/graphics/Canvas;->drawOval
Landroid/graphics/Canvas;->restore
Landroid/graphics/Outline;->setOval
Landroid/graphics/Color;->red
Landroid/graphics/Color;->green
Landroid/graphics/Color;->blue
Landroid/graphics/Color;->argb
Ljava/lang/CharSequence;->length
Landroid/text/TextPaint;->setColor
Landroid/text/TextPaint;->setShadowLayer
Landroid/text/TextPaint;->setTextSize
Landroid/text/TextPaint;->setTypeface
Landroid/text/TextPaint;->setLinearText
Landroid/text/TextUtils$TruncateAt;->END Landroid/text/TextUtils$TruncateAt;
Landroid/text/TextUtils;->ellipsize
Landroid/graphics/Typeface;->create
Landroid/text/TextPaint;->measureText
Landroid/text/TextPaint;->descent
Landroid/text/TextPaint;->ascent
Landroid/graphics/Canvas;->drawText
Landroid/graphics/Bitmap;->recycle
Landroid/graphics/Typeface;->DEFAULT Landroid/graphics/Typeface;
Landroid/view/View;->setSystemUiVisibility
Ljava/lang/Class;->getDeclaredMethod
Ljava/lang/reflect/Method;->setAccessible
Ljava/lang/reflect/Method;->invoke
Ljava/lang/Class;->getDeclaredField
Ljava/lang/reflect/Field;->setAccessible
Ljava/lang/reflect/Field;->set
Landroid/view/animation/Animation;->reset
Landroid/content/res/Resources;->getColor
Landroid/graphics/drawable/GradientDrawable;->setShape
Landroid/graphics/drawable/GradientDrawable;->setColor
Landroid/content/res/Resources;->getInteger
Landroid/view/ViewPropertyAnimator;->cancel
Landroid/view/ViewPropertyAnimator;->scaleX
Landroid/view/ViewPropertyAnimator;->scaleY
Landroid/view/ViewPropertyAnimator;->alpha
Landroid/view/ViewPropertyAnimator;->setDuration
Landroid/view/ViewPropertyAnimator;->setInterpolator
Landroid/view/ViewPropertyAnimator;->setListener
Landroid/animation/Animator;->setInterpolator
Landroid/graphics/drawable/RippleDrawable;->setColor
Landroid/animation/ObjectAnimator;->ofFloat
Landroid/animation/StateListAnimator;->addState
Landroid/graphics/drawable/Drawable;->setDither
Landroid/graphics/RectF;->width
Landroid/graphics/RectF;->height
Landroid/graphics/RectF;->inset
Landroid/graphics/Path$FillType;->EVEN_ODD Landroid/graphics/Path$FillType;
Landroid/graphics/Path;->setFillType
